LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value
DNK	GFCF	TOT	AGRWTH	A	2005	5.942737
DNK	GFCF	TOT	AGRWTH	A	2006	13.668483
DNK	GFCF	TOT	AGRWTH	A	2007	0.690636
DNK	GFCF	TOT	AGRWTH	A	2008	-2.496592
DNK	GFCF	TOT	AGRWTH	A	2009	-12.96739
DNK	GFCF	TOT	AGRWTH	A	2010	-5.746984
DNK	GFCF	TOT	AGRWTH	A	2011	0.38869
DNK	GFCF	TOT	AGRWTH	A	2012	3.73307
DNK	GFCF	TOT	AGRWTH	A	2013	2.732784
DNK	GFCF	TOT	AGRWTH	A	2014	3.11118
DNK	GFCF	TOT	AGRWTH	A	2015	5.518646
DNK	GFCF	TOT	AGRWTH	A	2016	7.565968
DNK	GFCF	TOT	AGRWTH	A	2017	4.620127
DNK	GFCF	TOT	AGRWTH	A	2018	6.489976
FIN	GFCF	TOT	AGRWTH	A	1990	-3.577944
FIN	GFCF	TOT	AGRWTH	A	1991	-16.912824
FIN	GFCF	TOT	AGRWTH	A	1992	-13.751614
FIN	GFCF	TOT	AGRWTH	A	1993	-12.519704
FIN	GFCF	TOT	AGRWTH	A	1994	0.846885
FIN	GFCF	TOT	AGRWTH	A	1995	12.538527
FIN	GFCF	TOT	AGRWTH	A	1996	10.006351
FIN	GFCF	TOT	AGRWTH	A	1997	10.885802
FIN	GFCF	TOT	AGRWTH	A	1998	10.672914
FIN	GFCF	TOT	AGRWTH	A	1999	4.533694
FIN	GFCF	TOT	AGRWTH	A	2000	6.21871
FIN	GFCF	TOT	AGRWTH	A	2001	1.763538
FIN	GFCF	TOT	AGRWTH	A	2002	-2.953345
FIN	GFCF	TOT	AGRWTH	A	2003	2.796547
FIN	GFCF	TOT	AGRWTH	A	2004	4.66105
FIN	GFCF	TOT	AGRWTH	A	2005	3.252255
FIN	GFCF	TOT	AGRWTH	A	2006	1.356472
FIN	GFCF	TOT	AGRWTH	A	2007	10.296954
FIN	GFCF	TOT	AGRWTH	A	2008	0.634756
FIN	GFCF	TOT	AGRWTH	A	2009	-12.029349
FIN	GFCF	TOT	AGRWTH	A	2010	2.304653
FIN	GFCF	TOT	AGRWTH	A	2011	3.885671
FIN	GFCF	TOT	AGRWTH	A	2012	-0.284541
FIN	GFCF	TOT	AGRWTH	A	2013	-4.609366
FIN	GFCF	TOT	AGRWTH	A	2014	-1.833446
FIN	GFCF	TOT	AGRWTH	A	2015	0.346505
FIN	GFCF	TOT	AGRWTH	A	2016	8.882521
FIN	GFCF	TOT	AGRWTH	A	2017	3.983356
FIN	GFCF	TOT	AGRWTH	A	2018	3.272696
FRA	GFCF	TOT	AGRWTH	A	1990	4.608864
FRA	GFCF	TOT	AGRWTH	A	1991	-0.53423
FRA	GFCF	TOT	AGRWTH	A	1992	-1.487038
FRA	GFCF	TOT	AGRWTH	A	1993	-5.437919
FRA	GFCF	TOT	AGRWTH	A	1994	1.555463
FRA	GFCF	TOT	AGRWTH	A	1995	1.329405
FRA	GFCF	TOT	AGRWTH	A	1996	0.751684
FRA	GFCF	TOT	AGRWTH	A	1997	0.78876
FRA	GFCF	TOT	AGRWTH	A	1998	6.409821
FRA	GFCF	TOT	AGRWTH	A	1999	7.841027
FRA	GFCF	TOT	AGRWTH	A	2000	6.647157
FRA	GFCF	TOT	AGRWTH	A	2001	2.274688
FRA	GFCF	TOT	AGRWTH	A	2002	-0.917374
FRA	GFCF	TOT	AGRWTH	A	2003	1.919072
FRA	GFCF	TOT	AGRWTH	A	2004	3.48013
FRA	GFCF	TOT	AGRWTH	A	2005	2.899522
FRA	GFCF	TOT	AGRWTH	A	2006	3.645481
FRA	GFCF	TOT	AGRWTH	A	2007	5.534484
FRA	GFCF	TOT	AGRWTH	A	2008	0.853106
FRA	GFCF	TOT	AGRWTH	A	2009	-9.069762
FRA	GFCF	TOT	AGRWTH	A	2010	2.081216
FRA	GFCF	TOT	AGRWTH	A	2011	2.066052
FRA	GFCF	TOT	AGRWTH	A	2012	0.231322
FRA	GFCF	TOT	AGRWTH	A	2013	-0.805539
FRA	GFCF	TOT	AGRWTH	A	2014	0.032841
FRA	GFCF	TOT	AGRWTH	A	2015	1.024148
FRA	GFCF	TOT	AGRWTH	A	2016	2.659973
FRA	GFCF	TOT	AGRWTH	A	2017	4.742005
FRA	GFCF	TOT	AGRWTH	A	2018	2.788533
DEU	GFCF	TOT	AGRWTH	A	1990	7.995906
DEU	GFCF	TOT	AGRWTH	A	1991	5.318589
DEU	GFCF	TOT	AGRWTH	A	1992	4.481861
DEU	GFCF	TOT	AGRWTH	A	1993	-4.538452
DEU	GFCF	TOT	AGRWTH	A	1994	3.574975
DEU	GFCF	TOT	AGRWTH	A	1995	-0.191755
DEU	GFCF	TOT	AGRWTH	A	1996	-0.432275
DEU	GFCF	TOT	AGRWTH	A	1997	0.518571
DEU	GFCF	TOT	AGRWTH	A	1998	4.019197
DEU	GFCF	TOT	AGRWTH	A	1999	4.290656
DEU	GFCF	TOT	AGRWTH	A	2000	2.090246
DEU	GFCF	TOT	AGRWTH	A	2001	-2.621603
DEU	GFCF	TOT	AGRWTH	A	2002	-6.085215
DEU	GFCF	TOT	AGRWTH	A	2003	-1.622838
DEU	GFCF	TOT	AGRWTH	A	2004	-0.433474
DEU	GFCF	TOT	AGRWTH	A	2005	0.89491
DEU	GFCF	TOT	AGRWTH	A	2006	7.527267
DEU	GFCF	TOT	AGRWTH	A	2007	3.611638
DEU	GFCF	TOT	AGRWTH	A	2008	1.581495
DEU	GFCF	TOT	AGRWTH	A	2009	-9.457742
DEU	GFCF	TOT	AGRWTH	A	2010	5.275471
DEU	GFCF	TOT	AGRWTH	A	2011	7.38889
DEU	GFCF	TOT	AGRWTH	A	2012	-0.227625
DEU	GFCF	TOT	AGRWTH	A	2013	-1.285907
DEU	GFCF	TOT	AGRWTH	A	2014	3.235633
DEU	GFCF	TOT	AGRWTH	A	2015	1.760456
DEU	GFCF	TOT	AGRWTH	A	2016	3.8
DEU	GFCF	TOT	AGRWTH	A	2017	2.447013
DEU	GFCF	TOT	AGRWTH	A	2018	3.451194
GRC	GFCF	TOT	AGRWTH	A	1990	4.459112
GRC	GFCF	TOT	AGRWTH	A	1991	4.24936
GRC	GFCF	TOT	AGRWTH	A	1992	-3.486634
GRC	GFCF	TOT	AGRWTH	A	1993	-3.993979
GRC	GFCF	TOT	AGRWTH	A	1994	-3.08344
GRC	GFCF	TOT	AGRWTH	A	1995	4.130692
GRC	GFCF	TOT	AGRWTH	A	1996	9.052065
GRC	GFCF	TOT	AGRWTH	A	1997	3.50272
GRC	GFCF	TOT	AGRWTH	A	1998	22.589544
GRC	GFCF	TOT	AGRWTH	A	1999	7.398346
GRC	GFCF	TOT	AGRWTH	A	2000	2.864204
GRC	GFCF	TOT	AGRWTH	A	2001	5.367508
GRC	GFCF	TOT	AGRWTH	A	2002	-0.333578
GRC	GFCF	TOT	AGRWTH	A	2003	15.103408
GRC	GFCF	TOT	AGRWTH	A	2004	2.962224
GRC	GFCF	TOT	AGRWTH	A	2005	-11.880227
GRC	GFCF	TOT	AGRWTH	A	2006	19.389481
GRC	GFCF	TOT	AGRWTH	A	2007	15.887128
GRC	GFCF	TOT	AGRWTH	A	2008	-7.193438
GRC	GFCF	TOT	AGRWTH	A	2009	-13.931348
GRC	GFCF	TOT	AGRWTH	A	2010	-19.346062
GRC	GFCF	TOT	AGRWTH	A	2011	-20.49656
GRC	GFCF	TOT	AGRWTH	A	2012	-23.457849
GRC	GFCF	TOT	AGRWTH	A	2013	-8.428087
GRC	GFCF	TOT	AGRWTH	A	2014	-4.676251
GRC	GFCF	TOT	AGRWTH	A	2015	0.674703
GRC	GFCF	TOT	AGRWTH	A	2016	4.749197
GRC	GFCF	TOT	AGRWTH	A	2017	9.077404
GRC	GFCF	TOT	AGRWTH	A	2018	-12.223321
HUN	GFCF	TOT	AGRWTH	A	1992	-2.639475
HUN	GFCF	TOT	AGRWTH	A	1993	2.031064
HUN	GFCF	TOT	AGRWTH	A	1994	12.470283
HUN	GFCF	TOT	AGRWTH	A	1995	-4.31038
HUN	GFCF	TOT	AGRWTH	A	1996	4.588816
HUN	GFCF	TOT	AGRWTH	A	1997	8.704608
HUN	GFCF	TOT	AGRWTH	A	1998	11.394273
HUN	GFCF	TOT	AGRWTH	A	1999	7.993013
HUN	GFCF	TOT	AGRWTH	A	2000	5.990158
HUN	GFCF	TOT	AGRWTH	A	2001	2.700402
HUN	GFCF	TOT	AGRWTH	A	2002	7.683155
HUN	GFCF	TOT	AGRWTH	A	2003	1.155017
HUN	GFCF	TOT	AGRWTH	A	2004	7.935172
HUN	GFCF	TOT	AGRWTH	A	2005	3.61553
